Publication.Number;Publication.Year;IPC;Main.IPC.Subclass;Simple.Family;Count.of.Simple.Family.Members;Simple.Family.Cited.by.Count;Count.of.Other.References;Count.of.Cited.by.Patents;Count.of.Cites.Patents;Count.of.Cited.by.Patents.Within.3.years;Count.of.Cited.by.Patents.Within.5.years;Simple.Legal.Status;Count.of.claims;Quality.of.Family;Classifier
US20120241552A1;2012;B64C39/00;B64C;US20120241552A1;1;3;0;3;2;3;3;Inactive;8;High;Strong
US20170341780A1;2017;B64G1/40 | B64G1/26 | B64C39/00;B64G;US20170341780A1;1;0;0;0;0;0;0;Inactive;1;High;Strong
US20180037312A1;2018;B64C11/20 | B60F5/02 | F16H48/20 | B63H5/07 | B64C39/00 | F16H48/06 | B64C37/00 | B60F3/00;B64C;US20180037312A1;1;0;0;0;0;0;0;Inactive;3;High;Strong
US20140124612A1;2014;B64C39/00 | B63B35/34 | B64C25/32;B64C;US20140124612A1;1;1;0;1;0;1;1;Inactive;20;High;Strong
CN108974327A;2018;B64C13/50 | B64C19/00 | B64C39/00;B64C;CN108974327A;1;0;0;0;1;0;0;Pending;2;Low;Strong
CN204587302U;2015;B64C23/00 | B64C39/00;B64C;CN204587302U;1;1;0;1;2;1;1;Inactive;3;Low;Strong
CN106809385A;2017;B64C39/02 | B64D47/00 | A62C3/00;B64C;CN106809385A;1;0;0;0;0;0;0;Inactive;5;Low;Strong
CN105366052A;2016;B64C39/00 | B64F1/04;B64C;CN105366052A;1;0;0;0;5;0;0;Inactive;8;Low;Strong
CN206187337U;2017;B64C27/08 | B64C27/12 | B64C27/82 | B64D29/00 | B64C39/00;B64C;CN206187337U;1;0;0;0;0;0;0;Active;13;Low;Strong
CN206374983U;2017;B64C39/00 | B60F5/02;B64C;CN206374983U;1;0;0;0;0;0;0;Active;4;Low;Strong
FR3017856A1;2015;B64C39/00;B64C;FR3017856A1;1;0;0;0;0;0;0;Pending;13;Low;Strong
KR1020170129653A;2017;B64C31/00 | B64C39/00;B64C;KR1020170129653A;1;0;0;0;0;0;0;Inactive;36;Low;Strong
CN108706103A;2018;B64C39/06 | B64C39/02 | B64D27/24;B64C;CN108706103A;1;0;0;0;0;0;0;Pending;10;Low;Strong
RU128183U1;2013;B64C39/00;B64C;RU128183U1;1;0;0;0;0;0;0;Undetermined;4;Low;Strong
CN106240789A;2016;B64C1/06 | B64C39/00;B64C;CN106240789A;1;1;0;1;0;1;1;Inactive;12;Low;Strong
CN205418105U;2016;B64C39/00;B64C;CN205418105U;1;0;0;0;0;0;0;Active;1;Low;Strong
CN203666990U;2014;B64C39/00 | B64D47/08;B64C;CN203666990U;1;3;0;3;0;3;3;Active;18;Low;Strong
JP2018090118A;2018;B64C39/02 | B64C27/10 | B64F3/02 | B64D47/08 | B64B1/50 | B64C39/00 | G06T7/00 | G06T7/20;B64C;JP2018090118A;1;0;0;0;1;0;0;Pending;49;Low;Strong
WO2019017794A1;2019;B64C27/08 | B64C27/20 | B64C39/00 | B64C39/02;B64C;NO20171194A | NO343743B1 | WO2019017794A1;3;0;1;0;1;0;0;Undetermined;13;Low;Strong
UA64235A;2004;B64C3/10 | B64C39/00;B64C;UA64235A;1;1;0;1;0;0;1;Undetermined;1;Low;Strong
CN206841715U;2018;B64C27/20 | B64C39/00;B64C;CN206841715U;1;0;0;0;0;0;0;Active;24;Low;Strong
CN107873682A;2018;A01M7/00 | B64C39/00 | B64D1/18 | E05C9/06;A01M;CN107873682A;1;0;1;0;10;0;0;Pending;11;Low;Strong
CN203975230U;2014;B64C39/00 | G05D1/00;B64C;CN203975230U;1;2;0;2;0;2;2;Inactive;2;Low;Strong
JP2019001308A;2019;B64C39/00 | B64C27/08;B64C;JP2019001308A;1;0;0;0;1;0;0;Pending;24;Low;Strong
CN106275430A;2017;B64C39/00 | B64F1/10;B64C;CN106275430A;1;0;0;0;4;0;0;Inactive;2;Low;Strong
ES2321254B1;2010;B64C39/00 | B64C27/37;B64C;ES2321254A1 | ES2321254B1;2;0;0;0;0;0;0;Active;12;Low;Strong
US20140339367A1;2014;B64D37/06;B64D;US20140339367A1 | WO2014209454A1;2;5;0;5;9;4;4;Pending;20;High;Strong
RU2015118964A;2016;B64C39/00;B64C;RU2015118964A | RU2015118964A3;2;0;0;0;0;0;0;Inactive;19;Low;Strong
RU99446U1;2010;B64C39/00;B64C;RU99446U1;1;0;0;0;0;0;0;Inactive;5;Low;Strong
CN206171819U;2017;B64C39/00 | B64F5/40;B64C;CN206171819U;1;0;0;0;0;0;0;Active;8;Low;Strong
UA66882C2;2004;B64C39/00;B64C;UA66882C2;1;0;0;0;0;0;0;Undetermined;4;Low;Strong
CN204236776U;2015;B64C39/00 | B64C1/08;B64C;CN204236776U;1;2;0;2;1;0;0;Inactive;5;Low;Strong
JP2018197003A;2018;B64D25/00 | B64C39/02 | B64C39/00 | A63H27/10 | A63H27/133 | B64C27/08;B64D;JP2018197003A;1;0;0;0;1;0;0;Pending;2;Low;Strong
CN108725781A;2018;B64C39/00;B64C;CN108725781A;1;0;0;0;0;0;0;Pending;21;Low;Strong
KR1020150090795A;2015;B64C39/00 | B64C25/32;B64C;KR1020150090795A;1;0;0;0;0;0;0;Inactive;7;Low;Strong
CN105217034A;2016;B64C39/00 | A01C7/00 | B64F3/02;B64C;CN105217034A;1;0;0;0;0;0;0;Pending;3;Low;Strong
RU2631966C1;2017;B64C39/00 | G01B17/02 | B64D43/00;B64C;RU2631966C1;1;0;1;0;6;0;0;Active;7;Low;Strong
CN107618664A;2018;B64C39/00 | B64D27/02 | B64C1/00;B64C;CN107618664A;1;0;0;0;0;0;0;Pending;19;Low;Strong
CN106741936A;2017;B64C39/00;B64C;CN106741936A;1;0;0;0;0;0;0;Inactive;8;Low;Strong
CN203698647U;2014;B64C3/00 | B64C3/28 | B64C39/00;B64C;CN203698647U;1;3;0;3;0;3;3;Active;4;Low;Strong
CN206187343U;2017;B64C39/00 | B60F5/02;B64C;CN206187343U;1;0;0;0;0;0;0;Active;7;Low;Strong
CN106101511A;2016;H04N5/225 | H04N5/232 | G08C17/02 | G05D1/12;H04N;CN106101511A;1;5;0;5;0;5;5;Pending;9;Low;Strong
ES1209941U;2018;B64C39/00;B64C;EP3531390A1 | ES1209941U;2;0;0;0;0;0;0;Active;24;Low;Strong
CN107487448A;2017;B64D27/02 | B64C1/00 | B64C39/00;B64D;CN107487448A;1;0;0;0;0;0;0;Pending;5;Low;Strong
CN206358349U;2017;B64C1/30 | B64C39/00;B64C;CN206358349U;1;6;0;6;0;6;6;Active;1;Low;Strong
UA90762C2;2010;B64C39/00;B64C;UA90762C2;1;0;2;0;0;0;0;Undetermined;1;Low;Strong
DE102016106540A1;2017;B64C27/10;B64C;DE102016106540A1;1;0;0;0;3;0;0;Pending;59;Low;Strong
CN204642090U;2015;B63B35/00 | B62D63/02 | B64C39/00;B63B;CN204642090U;1;2;0;2;0;2;2;Active;15;Low;Strong
CN206050051U;2017;B64C1/30 | B64C39/00;B64C;CN206050051U;1;2;0;2;0;0;0;Inactive;8;Low;Strong
WO2018207012A1;2018;G06F17/30 | B64C39/00 | G08G5/00;G06F;WO2018207012A1;1;0;0;0;2;0;0;Undetermined;54;Low;Strong
CN107719659A;2018;B64C27/28 | B64C39/00 | B64C27/30 | B64C9/00 | B64C3/38 | B64C5/10;B64C;CN107719659A;1;1;0;1;0;1;1;Pending;8;Low;Strong
CN203581383U;2014;B64C39/00 | B64D27/24;B64C;CN203581383U;1;3;0;3;0;3;3;Active;7;Low;Strong
RU2016110527A;2017;B64C39/00;B64C;RU2016110527A;1;0;0;0;0;0;0;Inactive;12;Low;Strong
CN108454853A;2018;B64C39/00 | B64C29/00 | B64C1/00;B64C;CN108454853A;1;0;0;0;0;0;0;Pending;5;Low;Strong
CN205353316U;2016;G01R31/36 | G01G3/00 | G01G9/00 | B64C39/00;G01R;CN205353316U;1;3;0;3;2;2;2;Active;12;Low;Strong
CN204642156U;2015;B64C39/00;B64C;CN204642156U;1;2;0;2;0;0;0;Active;5;Low;Strong
JP3166751U;2011;B64C39/00;B64C;JP3166751U;1;0;0;0;0;0;0;Active;2;Low;Strong
GB2493241B;2018;B63H1/30 | B64C33/02 | B64C39/00;B63H;GB201112832D0 | GB201204628D0 | GB201206346D0 | GB201210089D0 | GB2493241A | GB2493241B;6;0;1;0;4;0;0;Active;6;Low;Strong
CN106541953A;2017;B61B13/08 | B61B1/00 | B64C39/00;B61B;CN106541953A;1;0;0;0;6;0;0;Inactive;10;Low;Strong
CN107031837A;2017;B64C39/00 | H02N15/00;B64C;CN107031837A;1;0;0;0;0;0;0;Pending;3;Low;Strong
CN205440871U;2016;B64C39/00;B64C;CN205440871U;1;2;0;2;1;2;2;Active;7;Low;Strong
CN204606198U;2015;B64C3/26 | B64C3/00 | B64C5/00 | B64C9/00;B64C;CN204606198U;1;1;0;1;0;0;0;Active;6;Low;Strong
WO2018190823A1;2018;B64C39/02 | B64C39/00 | B60R16/02 | B64C17/00 | B64C27/08 | G05D1/00;B64C;WO2018190823A1;1;0;0;0;4;0;0;Undetermined;29;Low;Strong
CN206081575U;2017;A63C17/26 | B64C39/00;A63C;CN206081575U;1;1;0;1;0;1;1;Active;7;Low;Strong
CN205854498U;2017;B64C39/00 | B64F1/06;B64C;CN205854498U;1;0;0;0;0;0;0;Active;2;Low;Strong
CN207029552U;2018;B64C39/00 | B64D27/24;B64C;CN207029552U;1;0;0;0;0;0;0;Active;10;Low;Strong
WO2018111258A1;2018;B64C13/00 | B64C13/16 | B64C39/00 | B64C39/02 | B64D47/02 | G01C22/00;B64C;CN110087989A | DE112016007456T5 | WO2018111258A1;3;0;0;0;9;0;0;Undetermined;32;Low;Strong
WO2018182564A1;2018;B64F1/22 | B64C39/00 | B64F1/00;B64F;WO2018182564A1;1;0;0;0;6;0;0;Undetermined;60;Low;Strong
CN207482188U;2018;B64C39/00;B64C;CN207482188U;1;0;0;0;0;0;0;Active;3;Low;Strong
CN106741938A;2017;B64C39/00 | B64D27/02 | B64F1/06;B64C;CN105775129A | CN106741938A;2;0;0;0;0;0;0;Pending;10;Low;Strong
CN204548485U;2015;B64C25/06 | B64C39/00;B64C;CN204548485U;1;2;0;2;0;2;2;Active;10;Low;Strong
CN207985169U;2018;B64C15/12 | B64C39/00 | B64D27/16;B64C;CN207985169U;1;0;0;0;0;0;0;Active;5;Low;Strong
CN107600409A;2018;B64C39/00;B64C;CN107600409A;1;0;0;0;5;0;0;Pending;9;Low;Strong
CN205265944U;2016;H05B33/08 | G01C11/00 | B64C39/00;H05B;CN205265944U;1;5;0;5;0;5;5;Active;21;Low;Strong
RU2012107704A;2013;B64C23/00 | B64C39/00;B64C;RU2012107704A;1;0;0;0;0;0;0;Undetermined;18;Low;Strong
CN204660017U;2015;B64C1/06 | B64C39/00;B64C;CN204660017U;1;0;0;0;1;0;0;Inactive;6;Low;Strong
CN106218858A;2016;B64C1/30 | B64C39/00;B64C;CN106218858A;1;2;0;2;9;2;2;Pending;15;Low;Strong
CN205327416U;2016;B64C39/00 | B64D45/00;B64C;CN205327416U;1;2;0;2;0;0;0;Active;8;Low;Strong
CN204822053U;2015;B64B1/06 | B64C39/00 | B64D27/24;B64B;CN204822053U;1;0;0;0;0;0;0;Active;6;Low;Strong
CN106184748A;2016;B64C39/00 | B64C39/02 | B64D17/80;B64C;CN106184748A;1;0;0;0;7;0;0;Pending;3;Low;Strong
CN205952291U;2017;B64C1/30 | B64C39/00;B64C;CN205952291U;1;1;0;1;0;0;0;Active;15;Low;Strong
CN206243491U;2017;B64D37/06 | B64D27/20 | B64D27/14 | B64C39/00;B64D;CN206243491U;1;0;0;0;0;0;0;Active;4;Low;Strong
CN109131878A;2019;B64C39/00 | B64D27/24;B64C;CN109131878A;1;0;0;0;0;0;0;Pending;8;Low;Strong
CN204601623U;2015;A63H27/127 | B64C39/00 | B64C1/06;A63H;CN204601623U;1;0;0;0;0;0;0;Active;12;Low;Strong
UA94187C2;2011;B64C39/02 | B64C39/04 | B64C39/00;B64C;UA94187C2;1;0;1;0;5;0;0;Undetermined;1;Low;Strong
CN205150256U;2016;B64D5/00 | B64C39/00;B64D;CN205150256U;1;0;0;0;0;0;0;Active;4;Low;Strong
CN203567935U;2014;B64D1/18 | B60V3/08 | B64C39/00;B64D;CN203567935U;1;6;0;6;0;5;5;Active;13;Low;Strong
UA89126C2;2009;B64C3/10 | B64C39/00;B64C;UA89126C2;1;0;0;0;10;0;0;Undetermined;1;Low;Strong
CN107521657A;2017;B64C1/30 | B64C39/00;B64C;CN107521657A;1;0;0;0;0;0;0;Pending;12;Low;Strong
JP2017186003A;2017;B64C39/00 | B64C39/02 | B64C27/08 | B64D27/24;B64C;JP2017186003A;1;0;0;0;1;0;0;Pending;28;Low;Strong
CN207607648U;2018;B64C39/00 | B64C1/06;B64C;CN207607648U;1;0;0;0;0;0;0;Active;25;Low;Strong
CN204180445U;2015;H05K7/20 | H02P6/00 | B64C39/00;H05K;CN204180445U;1;6;0;6;0;6;6;Active;25;Low;Strong
CN208291477U;2018;B64C39/00 | B64C5/00;B64C;CN208291477U;1;0;0;0;0;0;0;Active;10;Low;Strong
FR3009541A1;2015;B64C39/00;B64C;FR3009541A1;1;0;0;0;5;0;0;Pending;7;Low;Strong
JP3204086U;2016;B64C39/00 | B64C27/08 | B64D47/08 | B64B1/50 | B64C39/02 | G03B37/00 | G03B15/00;B64C;JP3204086U;1;3;0;3;0;1;1;Active;8;Low;Strong
TWM564003U;2018;B64C39/00;B64C;TWM564003U;1;0;0;0;0;0;0;Active;3;Low;Strong
CN107054646A;2017;B64C39/00;B64C;CN107054646A;1;0;0;0;3;0;0;Pending;6;Low;Strong
UA69524A;2004;B64C39/00;B64C;UA69524A;1;0;0;0;0;0;0;Undetermined;3;Low;Strong
CN107472531A;2017;B64C39/00;B64C;CN107472531A;1;0;0;0;0;0;0;Pending;13;Low;Strong
CN106184747A;2016;B64C39/00;B64C;CN106184747A;1;0;0;0;0;0;0;Pending;10;Low;Strong
CN106986028A;2017;B64C39/06 | B64C35/02 | B64C17/00;B64C;CN106986028A;1;0;0;0;0;0;0;Pending;5;Low;Strong
WO2018107503A1;2018;B64C39/00;B64C;CN109996728A | WO2018107503A1;2;0;0;0;4;0;0;Undetermined;112;Low;Strong
CN104925262A;2015;B64D27/24 | B64C39/00;B64D;CN104925262A;1;3;0;3;3;3;3;Pending;2;Low;Strong
JP2016005944A;2016;B64C31/00 | B64D27/24 | B64C39/00 | B64C31/06;B64C;JP2016005944A | JP5811384B1;2;2;0;2;1;2;2;Active;42;Low;Strong
KR1020170127382A;2017;B64C31/00 | B64C39/00;B64C;KR1020170127382A;1;0;0;0;0;0;0;Inactive;21;Low;Strong
CN205010465U;2016;B64C1/00 | B64C3/00 | B64C39/00;B64C;CN205010465U;1;4;0;4;1;4;4;Inactive;12;Low;Strong
FR3031818A1;2016;G05D1/10 | A63H30/04;G05D;EP3051375A1 | FR3031818A1;2;0;4;0;1;0;0;Pending;12;Low;Strong
CN106697284A;2017;B64C39/00 | B64D27/24;B64C;CN106697284A;1;0;0;0;2;0;0;Pending;10;Low;Strong
CN206202675U;2017;B64C27/08 | B64C39/00 | B64D47/00;B64C;CN206202675U;1;0;0;0;0;0;0;Active;18;Low;Strong
CN107176295A;2017;B64C27/20 | B64C39/00;B64C;CN107176295A;1;0;0;0;0;0;0;Pending;26;Low;Strong
DE202014001643U1;2014;B64C39/00;B64C;DE202014001643U1;1;0;0;0;5;0;0;Active;11;Low;Strong
US20120056041A1;2012;G05D1/00 | B64C25/32 | B64C25/02 | B64C1/00 | B64C39/00;G05D;CN102381471A | JP2012051545A | KR101042200B1 | US20120056041A1;4;221;0;124;22;38;104;Inactive;13;High;Strong
CN109204813A;2019;B64C39/00 | B64C35/00 | B64C25/64;B64C;CN109204813A;1;0;0;0;0;0;0;Pending;4;Low;Strong
CN205906213U;2017;B64C39/00 | A63C17/26 | A63C17/01;B64C;CN205906213U;1;0;0;0;2;0;0;Active;9;Low;Strong
CN206087304U;2017;B64C39/00 | B64C1/30;B64C;CN206087304U;1;0;0;0;0;0;0;Active;7;Low;Strong
CN204623843U;2015;B64C39/00;B64C;CN204623843U;1;2;0;2;0;0;0;Active;5;Low;Strong
CN107585281A;2018;B63G11/00 | B64C35/00 | B64C39/00;B63G;CN107585281A;1;0;0;0;0;0;0;Pending;3;Low;Strong
CN108357686A;2018;B64D27/02 | B60K8/00 | B64C39/00;B64D;CN108357686A;1;0;0;0;0;0;0;Pending;16;Low;Strong
CN205194757U;2016;H01M2/10 | B64C39/00;H01M;CN205194757U;1;1;0;1;0;1;1;Active;9;Low;Strong
WO2019012191A1;2019;B64C27/12 | B64C27/72 | B64C11/44 | B63H3/00 | B64C39/00;B64C;FR3068953A1 | WO2019012191A1;2;0;0;0;8;0;0;Undetermined;24;Low;Strong
CN204871608U;2015;B64C39/00 | B64D47/00;B64C;CN204871608U;1;0;0;0;0;0;0;Active;2;Low;Strong
JP2011207299A;2011;B63H1/10 | B64C39/00;B63H;JP2011207299A;1;4;0;4;0;1;3;Inactive;9;Low;Strong
CN205801529U;2016;B64D27/24 | B64C39/00 | F17B1/00;B64D;CN205801529U;1;0;0;0;1;0;0;Inactive;2;Low;Strong
EP3290339A1;2018;B64C39/02 | B64C39/00 | G05D1/06;B64C;EP3290339A1;1;0;0;0;3;0;0;Inactive;79;Low;Strong
CN107719668A;2018;B64C39/00 | B64C15/12;B64C;CN107719668A;1;0;0;0;0;0;0;Pending;3;Low;Strong
CN107499509A;2017;B64C39/00;B64C;CN107499509A;1;0;0;0;0;0;0;Pending;10;Low;Strong
CN207943169U;2018;B64C39/00;B64C;CN207943169U;1;1;0;1;0;0;0;Active;12;Low;Strong
CN108116676A;2018;B64C39/00 | B60F5/02;B64C;CN108116676A;1;0;0;0;0;0;0;Pending;7;Low;Strong
CN106335638A;2017;B64C39/00;B64C;CN106335638A;1;0;0;0;0;0;0;Pending;10;Low;Strong
FR3022889A1;2016;B64C39/00;B64C;FR3022889A1;1;0;0;0;0;0;0;Pending;15;Low;Strong
WO2019010699A1;2019;B64C39/00;B64C;WO2019010699A1;1;0;0;0;4;0;0;Undetermined;11;Low;Strong
CN207536127U;2018;B64C39/02 | B64C39/00;B64C;CN207536127U;1;0;0;0;0;0;0;Active;13;Low;Strong
CN108165079A;2018;C09D5/30 | C09D5/24 | C09D163/00 | C09D161/06 | C09D5/32 | B05D5/00 | B64C39/00;C09D;CN108165079A;1;0;0;0;0;0;0;Pending;15;Low;Strong
CN106892106A;2017;B64C39/00 | B64D27/24;B64C;CN106892106A;1;0;0;0;0;0;0;Pending;11;Low;Strong
CN207510715U;2018;B64C39/00;B64C;CN207510715U;1;0;0;0;1;0;0;Active;17;Low;Strong
EP3398852A1;2018;B64C39/00 | B64C1/00 | B64C23/06 | B64C29/02 | B64C29/04 | B64D17/80;B64C;EP3398852A1;1;0;0;0;6;0;0;Pending;23;Low;Strong
CN205971794U;2017;B64C1/06 | B64C39/00;B64C;CN205971794U;1;0;0;0;0;0;0;Active;10;Low;Strong
CN107521656A;2017;B64C1/30 | B64C39/00;B64C;CN107521656A;1;1;0;1;0;1;1;Pending;15;Low;Strong
CN108674655A;2018;B64C39/00 | B64C39/02;B64C;CN108674655A;1;0;0;0;0;0;0;Pending;10;Low;Strong
WO2018140050A1;2018;B60S5/00 | B60S5/02 | B64C31/00 | B64C39/00 | G01C21/34 | G05D1/00 | G05D1/10;B60S;WO2018140050A1;1;0;0;0;14;0;0;Undetermined;44;Low;Strong
JP2018184045A;2018;B64C39/00 | B64C39/02 | B64D47/08 | B64C25/36 | B64C25/54 | E03F7/00;B64C;JP2018184045A;1;0;0;0;4;0;0;Pending;16;Low;Strong
CN203921196U;2014;B64C39/00;B64C;CN203921196U;1;5;0;5;0;5;5;Active;3;Low;Strong
CN204895868U;2015;B64C39/00 | B64C27/32;B64C;CN204895868U;1;5;0;5;0;5;5;Inactive;8;Low;Strong
CN105947200A;2016;B64C39/00 | B64C1/30 | G05D1/00 | B25J11/00 | B25J13/00;B64C;CN105947200A;1;0;0;0;1;0;0;Pending;6;Low;Strong
CN106335635A;2017;B64C27/08 | B64C1/06 | B64C39/00 | B64D29/04;B64C;CN106335635A | WO2018040765A1;2;7;0;7;1;7;7;Pending;10;Low;Strong
CN204433053U;2015;B64C27/32 | B64C39/00;B64C;CN204433053U;1;0;0;0;0;0;0;Active;3;Low;Strong
RU186196U1;2019;B64C39/00 | B64D47/08 | B64D45/00 | G08G5/04;B64C;RU186196U1;1;0;1;0;4;0;0;Active;1;Low;Strong
CN205273867U;2016;B64C39/00;B64C;CN205273867U;1;0;0;0;0;0;0;Active;7;Low;Strong
RU2317221C1;2008;B60V1/08 | B64C39/00;B60V;RU2317221C1;1;0;1;0;4;0;0;Undetermined;1;Low;Strong
CN106585985A;2017;B64C39/00 | B64D9/00;B64C;CN106585985A;1;0;0;0;0;0;0;Inactive;4;Low;Strong
CN205602126U;2016;B64C39/00 | B64D27/24;B64C;CN205602126U;1;0;0;0;0;0;0;Active;1;Low;Strong
CA2957670A1;2018;B64C39/00 | B60V3/00 | B64C27/20;B64C;CA2957670A1;1;0;0;0;0;0;0;Pending;1;Low;Strong
CN107284660A;2017;B64C39/00;B64C;CN107284660A;1;0;1;0;5;0;0;Pending;4;Low;Strong
CN105882988A;2016;B64D47/00 | B64C39/00;B64D;CN105882988A;1;0;0;0;7;0;0;Pending;4;Low;Strong
CN207374658U;2018;B64C39/00 | B64C5/00;B64C;CN207374658U;1;0;0;0;0;0;0;Active;9;Low;Strong
CN206278264U;2017;B64C27/08 | B64C1/06 | B64C39/00 | B64D29/04;B64C;CN206278264U;1;1;0;1;1;1;1;Active;10;Low;Strong
CN106954941A;2017;A45F3/02 | A45F3/04 | B64C39/00;A45F;CN106954941A;1;0;0;0;5;0;0;Inactive;7;Low;Strong
CN205872458U;2017;B64C27/08 | B64D17/80 | B64C39/00;B64C;CN205872458U;1;3;0;3;0;1;1;Inactive;9;Low;Strong
JP2016194844A;2016;G08G1/16 | B64C39/02 | G01C21/26 | B60R1/00 | B64C13/20 | B64D47/08 | B64C39/00 | B64D17/80;G08G;JP2016194844A | JP5819555B1;2;10;0;7;1;5;5;Active;86;Low;Strong
CN106143927A;2016;B64D31/00 | B64C39/00;B64D;CN106143927A;1;0;0;0;6;0;0;Inactive;4;Low;Strong
RU173480U1;2017;B64C39/00 | B64C3/56 | B64C1/30;B64C;RU173480U1;1;0;1;0;5;0;0;Active;6;Low;Strong
CN205221112U;2016;B64C39/00 | G08C17/02;B64C;CN205221112U;1;1;0;1;0;1;1;Active;5;Low;Strong
CN108033009A;2018;B64C39/00 | B64D27/00;B64C;CN108033009A;1;0;0;0;0;0;0;Pending;8;Low;Strong
CN208149618U;2018;B64C39/00 | B64C29/00 | B64C3/32;B64C;CN208149618U;1;0;0;0;0;0;0;Active;8;Low;Strong
RU128180U1;2013;B64C39/00 | B64C29/00;B64C;RU128180U1;1;0;0;0;0;0;0;Undetermined;6;Low;Strong
CN207106845U;2018;B64C1/00 | B64C3/56 | B64C39/00;B64C;CN207106845U;1;0;0;0;0;0;0;Active;6;Low;Strong
CN207916601U;2018;B60L11/18 | B64C39/00;B60L;CN207916601U;1;0;0;0;0;0;0;Active;46;Low;Strong
CN205203386U;2016;B64C39/00;B64C;CN205203386U;1;0;0;0;0;0;0;Active;8;Low;Strong
CN106225605A;2016;F42B15/00 | F42B10/14 | B64C39/00 | B64C3/56;F42B;CN106225605A;1;6;0;6;0;6;6;Pending;3;Low;Strong
TW201720287A;2017;A01C23/00 | A01M7/00 | B64C39/00;A01C;TW201720287A;1;0;0;0;0;0;0;Inactive;7;Low;Strong
CN206407136U;2017;B64C39/00 | B64D27/16 | H02J7/35;B64C;CN206407136U;1;0;0;0;0;0;0;Active;10;Low;Strong
CN204527649U;2015;B64D25/00 | B64C39/00;B64D;CN204527649U;1;3;0;3;0;3;3;Active;6;Low;Strong
CN205221125U;2016;B64D17/80 | B64D17/70 | B64C39/00;B64D;CN205221125U;1;3;0;3;0;3;3;Active;6;Low;Strong
CN106379537A;2017;B64C39/06 | B64C15/02 | B64C17/06 | B64C29/04;B64C;CN106379537A | CN106379537B;2;0;0;0;7;0;0;Active;21;Low;Strong
CN107089330A;2017;B64C39/00 | B64C23/00 | B64D27/02;B64C;CN107089330A;1;0;0;0;0;0;0;Pending;10;Low;Strong
CN106043693A;2016;B64C39/00 | B64D47/00;B64C;CN106043693A;1;1;0;1;7;1;1;Inactive;8;Low;Strong
CN104743115A;2015;B64C39/00 | B64D27/00;B64C;CN104743115A;1;0;0;0;0;0;0;Pending;10;Low;Strong
CN205469822U;2016;B64C39/00;B64C;CN205469822U;1;0;0;0;0;0;0;Active;2;Low;Strong
CN205293094U;2016;B64C39/00 | B64D17/62;B64C;CN205293094U;1;2;0;2;0;2;2;Active;10;Low;Strong
CN207748020U;2018;B64C39/00 | B64C39/06;B64C;CN207748020U;1;0;0;0;0;0;0;Active;5;Low;Strong
CN102336270A;2012;B64C39/00 | A63H27/127 | A63H27/14;B64C;CN102336270A;1;4;0;4;0;2;4;Inactive;4;Low;Strong
ES2317764B1;2010;B64C29/00 | B64C39/00;B64C;ES2317764A1 | ES2317764B1;2;0;0;0;0;0;0;Active;4;Low;Strong
ES1214554U;2018;G09F13/22 | G09F27/00 | H01L31/042 | B64C39/00 | F21S9/03;G09F;ES1214554U;1;0;0;0;0;0;0;Active;10;Low;Strong
DE102016011045A1;2018;B64C39/00;B64C;DE102016011045A1;1;0;0;0;0;0;0;Inactive;38;Low;Strong
CN107140206A;2017;B64C31/04 | B64C39/00;B64C;CN107140206A;1;0;0;0;0;0;0;Inactive;1;Low;Strong
CN206336437U;2017;B64C39/00 | A45C11/24 | B64C1/30;B64C;CN206336437U;1;1;0;1;2;1;1;Active;9;Low;Strong
CN208053636U;2018;B64C39/00 | A44C5/00;B64C;CN208053636U;1;0;0;0;0;0;0;Active;4;Low;Strong
GB2549252A;2017;B64C39/00;B64C;GB201603468D0 | GB2549252A;2;1;1;1;6;1;1;Pending;29;Low;Strong
CN106628174A;2017;B64C39/00 | B64F5/00;B64C;CN106628174A;1;0;0;0;0;0;0;Pending;14;Low;Strong
CN107813929A;2018;B64C39/00;B64C;CN107813929A;1;0;0;0;1;0;0;Pending;4;Low;Strong
CN106741937A;2017;B64C39/00 | B64D47/02;B64C;CN106741937A;1;0;0;0;0;0;0;Pending;40;Low;Strong
CN108248831A;2018;B64C15/12 | B64C39/00 | B64D27/16;B64C;CN108248831A;1;0;0;0;0;0;0;Pending;5;Low;Strong
CN204489175U;2015;B64C3/56 | B64C39/00;B64C;CN204489175U;1;4;0;4;0;4;4;Active;3;Low;Strong
CN202337361U;2012;B64C39/00 | B64C27/32 | B64D47/00;B64C;CN202337361U;1;12;0;12;0;10;12;Active;19;Low;Strong
CN208181418U;2018;B64C39/00;B64C;CN208181418U;1;0;0;0;0;0;0;Active;12;Low;Strong
CN203372390U;2014;B64C39/00 | B64C3/56;B64C;CN203372390U;1;9;0;9;0;7;9;Inactive;9;Low;Strong
CN105711838A;2016;B64C39/06 | B64C19/02;B64C;CN105711838A | CN105711838B;2;0;0;0;6;0;0;Active;21;Low;Strong
CN106608352A;2017;B64C39/00 | B64D27/24;B64C;CN106608352A;1;1;0;1;1;0;0;Inactive;1;Low;Strong
CN204021246U;2014;B64C39/00 | B64D27/16;B64C;CN204021246U;1;0;0;0;1;0;0;Active;5;Low;Strong
CN107826245A;2018;B64C39/00;B64C;CN107826245A;1;0;0;0;1;0;0;Pending;17;Low;Strong
CN202042825U;2011;H02G1/02 | B64C39/00 | B64D45/00;H02G;CN202042825U;1;27;0;27;3;20;26;Active;10;Low;Strong
